url,title
https://gihyo.jp/dp/ebook/2020/978-4-297-11252-3,今すぐ使えるかんたんEx 今すぐ使えるかんたんExHTML&CSS 逆引き事典
https://gihyo.jp/dp/ebook/2020/978-4-297-11242-4,今すぐ使えるかんたんEx 今すぐ使えるかんたんExAndroidアプリ 厳選BESTセレクション［スマートフォン&タブレット対応］
https://gihyo.jp/dp/ebook/2020/978-4-297-11228-8,理解するほどおもしろい！ パソコンのしくみがよくわかる本［改訂2版］
https://gihyo.jp/dp/ebook/2020/978-4-297-11234-9,今すぐ使えるかんたんmini 今すぐ使えるかんたんminiCanon EOS M6 Mark II 基本＆応用撮影ガイド
https://gihyo.jp/dp/ebook/2020/978-4-297-11348-3,プログラミング言語大全
https://gihyo.jp/dp/ebook/2020/978-4-297-11226-4,WEB+DB PRESS plus ［新版 zsh&bash対応］macOS×コマンド入門──ターミナルとコマンドライン、基本の力
https://gihyo.jp/dp/ebook/2020/978-4-297-11292-9,ARMマイコンで電子工作 SAMファミリ活用ガイドブック
https://gihyo.jp/dp/ebook/2020/978-4-297-11190-8,今からはじめるインシデントレスポンス―事例で学ぶ組織を守るCSIRTの作り方
https://gihyo.jp/dp/ebook/2020/978-4-297-11330-8,みんなのAWS〜AWSの基本を最新アーキテクチャでまるごと理解！
https://gihyo.jp/dp/ebook/2020/978-4-297-11344-5,作って学ぶAndroidアプリ開発［Kotlin対応］
https://gihyo.jp/dp/ebook/2020/978-4-297-11262-2,Googleアナリティクス プロフェッショナル～分析・施策のアイデアを生む最強リファレンス
https://gihyo.jp/dp/ebook/2020/978-4-297-11280-6,Software Design 2020年5月号
https://gihyo.jp/dp/ebook/2020/978-4-297-11170-0,マスタリングVim
https://gihyo.jp/dp/ebook/2020/978-4-297-11206-6,ESP32＆Arduino 電子工作 プログラミング入門
https://gihyo.jp/dp/ebook/2020/978-4-297-11302-5,ビジネスデザイン—未来をつくるビジョンとプロセスとITの話
https://gihyo.jp/dp/ebook/2020/978-4-297-11342-1,データ活用のための数理モデリング入門
https://gihyo.jp/dp/ebook/2020/978-4-297-11214-1,WEB+DB PRESS plus ［増補改訂第3版］Swift実践入門──直感的な文法と安全性を兼ね備えた言語
https://gihyo.jp/dp/ebook/2020/978-4-297-11208-0,たった1秒で仕事が片づく Excel自動化の教科書【増強完全版】
https://gihyo.jp/dp/ebook/2020/978-4-297-11300-1,C言語ではじめる Raspberry Pi 徹底入門
https://gihyo.jp/dp/ebook/2020/978-4-297-11270-7,メディカル・ポケットブック コメディカルのための 筋・骨格・関節・靱帯ポケットアトラス
https://gihyo.jp/dp/ebook/2020/978-4-297-11218-9,こじらせ仕事のトリセツ
https://gihyo.jp/dp/ebook/2020/978-4-297-11268-4,知識ゼロからの 知識ゼロからの機械学習入門
https://gihyo.jp/dp/ebook/2020/978-4-297-11210-3,Software Design plus AIエンジニアを目指す人のための 機械学習入門 実装しながらアルゴリズムの流れを学ぶ
https://gihyo.jp/dp/ebook/2020/978-4-297-11273-8,Word［最強］時短仕事術 成果を出す！ 仕事が速い人のテクニック
https://gihyo.jp/dp/ebook/2020/978-4-297-11296-7,メカトロニクスのモーター技術
https://gihyo.jp/dp/ebook/2020/978-4-297-11298-1,ゼロからはじめる ゼロからはじめるau AQUOS zero2 SHV47 スマートガイド
https://gihyo.jp/dp/ebook/2020/978-4-297-11322-3,ゼロからはじめる ゼロからはじめるドコモ AQUOS zero2 SH-01M スマートガイド
https://gihyo.jp/dp/ebook/2020/978-4-297-11266-0,システム障害対応の教科書
https://gihyo.jp/dp/ebook/2020/978-4-297-10966-0,情報処理技術者試験 令和02-03年 応用情報技術者 試験によくでる問題集【午後】
https://gihyo.jp/dp/ebook/2020/978-4-297-10503-7,Software Design 2020年4月号
